ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
amanam,tio,amanam,clitic constr,ama ; anam,1SG/PL.OBJM=1PL.EX.PRON,object marker = pron,,ama=nam,
amaraara,tio,amaraara,clitic constr,ama ; raara_1,1SG/PL.OBJM=1PL.IN.IPFV=1PL.IN.PRON,object marker = tam = pron,,ama=ra=ara,
amarao,tio,amarao,n1/n2,upee_2,,,,,
amarao_ni,tio,amarao ni,vt.constr,amarao ; upee_2,guardian APPL,vi - appl,,amarao ni,
ameam,tio,ameam,clitic constr,am ; amevuam ; anomameam ; avameam ; eam,2PL.OBJM=2PL.PRON,object marker = pron,,ame=am,
Amerika,tio,Amerika,n2,vuu_tom_sinana,,,,,
amevuam,tio,amevuam,clitic constr,ameam,2PL.OBJM=IMM=2PL.PRON,object marker = tam = pron,,ame=vu=am,
amisina,tio,amisina,n2,kabirohi,,,,,
amoba,tio,amoba,n1/n2,,,,,,
amuhu,tio,amuhu,vt,,,,,,
an_1,tio,an,pron,ean ; kivuan ; mean ; vuan_1 ; vuan_2,2SG.PRON,,,an,
an_2,tio,an,vi/vt/vd,ani,,,,,ani
ana_1,tio,ana,n3,ana_suva ; ruhu,,,,,
ana_2,tio,ana,vi,LX000065,,,,,
ana_gunaha,tio,ana gunaha,vi.constr,LX000065 ; vakom_vakikis,grow.roots go.down,vi - vi,,ana gunaha,
ana_overe,tio,ana overe,n3.constr,overe_1 ; vahogisi,root coconut.palm,n - n,,ana overe,
ana_suva,tio,ana suva,n3.constr,suva_1 ; suva_2,root poison.fish,n - vi,,ana suva,
anaa,tio,anaa,pron,LX000003 ; anam ; naa ; vanaa_3,OBJM=1SG.PRON,,,a=naa,
anaana,tio,anaana,vi,viakono,RED-grow.roots,,,ana-ana,
anahi,tio,anahi,n2,kareepana,,,,,
anahuna,tio,anahuna,n3,peesi_1 ; puhana_hopo,,,,,
anam,tio,anam,clitic constr,ama ; amanam ; kamanam,OBJM=1PL.EX.PRON,object marker = pron,,a=nam,
anan,tio,anan,vt,ani ; aniani_1,RED-eat,,,an-an,aniani
anan_aba,tio,anan aba,vi.constr,aniani_aba,RED-eat person,vt - n,,an-an aba,
anan_kahi,tio,anan kahi,vt.constr,ani_kahi,RED-eat from,vi - prep,,an-an kahi,
anda,tio,anda,interjection,,,,,,
aneana,tio,aneana,n3,aniana,,,,,aniana; neana
ani,tio,ani,vi/vt/vd,kasuana_3 ; LX000056,,,,,an
ani_kahi,tio,ani kahi,vt.constr,kahi_1,eat from,vi - prep,,ani kahi,an kahi
ani_ni,tio,ani ni,vt.constr,ani,eat APPL,vt - appl,,ani ni,an ni
ani_paapoo_ni,tio,ani paapoo ni,vt.constr,kara_koremana ; paapao,eat vegetable APPL,vt - n - appl,,ani paapoo ni,
ani_vahata,tio,ani vahata,vt.constr,vahata,eat ADVR-bad,vt - adv,,ani va-hata,an vahata
ani_vakamis_komana_ni,tio,ani vakamis komana ni,vt.constr,baibai,eat CAUS-hurt stomach-DEREL APPL,vi vt n appl,,ani va-kamis koma-na ni,
ani_vamahumahun_ni,tio,ani vamahumahun ni,vt.constr,mahun_1 ; vamahun,eat ADVR-RED-full APPL,vi/vt - adv - appl,,ani va-mahu-mahun ni,
ani_vamahun_ni,tio,ani vamahun ni,vt.constr,mahun_1 ; vamahun,eat ADVR-full APPL,vt - adv - appl,,ani va-mahun ni,
aniana,tio,aniana,n2,vaanini_mataa,,,,,
aniani_1,tio,aniani,vt,ani,RED-eat,,,ani-ani,
aniani_2,tio,aniani,adj,ani ; manebahu,RED-eat,,,ani-ani,
aniani_aba,tio,aniani aba,vi.constr,anan_aba,RED-eat person,vt - n,,ani-ani aba,
anie_1,tio,anie,clitic constr,ani,2SG.PRON=3SG.PRON,pron = pron,,ani=e,
anie_2,tio,anie,vt.constr,ani,eat=3SG.PRON,vt = pron,,ani=e,
anii,tio,anii,n3,kaburu,,,,,
animano,tio,animano,n2,katoo,,,,,
aniva,tio,aniva,n3,sinivi_1,,,,,
anom,tio,anom,clitic constr,LX000003 ; nom,OBJM=IPFV,object marker = tam,,a=nom,
anomameam,tio,anomameam,clitic constr,ameam,OBJM=IPFV=2PL.OBJM=2PL.PRON,object marker = tam = object marker = pron,,a=nom=ame=am,anom ameam
anomanam,tio,anomanam,clitic constr,amanam ; anam ; nom,OBJM=IPFV=OBJM=1PL.EX.PRON,object marker = tam = object marker = pron,,a=nom=a=nam,
anoo,tio,anoo,n3,karimana,,,,,
antee_1,tio,antee,vi/vt,,,,,,ante
antee_2,tio,antee,vt,haihai_1,,,,,
LX000002,tio,antee be...,vi.constr,antee_1,stop when...,vi - adverbial clause,,antee be...,ante be...
