ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
haraa_vamataa,tio,haraa vamataa,vi.constr,vamataa_2,feel ADVR-good,vi - adv,,haraa va-mataa,
haraa_vaneneesi,tio,haraa vaneneesi,vi.constr,neneesi ; vaneneesi,feel well,vi - adv,,haraa va-neneesi,
haraa_vaponis_ni,tio,haraa vaponis ni,vt.constr,vaponisi,feel ADVR-heavy APPL,vi - adv - appl,,haraa va-ponis ni,
haraharaa_1,tio,haraharaa,n3,haraa_1,RED-feel,,,hara-haraa,
haraharaa_2,tio,haraharaa,n3,haraa_1,RED-feel,,,hara-haraa,
haran,tio,haran,vi,,,,,,
hare,tio,hare,vt/vd,,tempt,,,hare,
haropo,tio,haropo,vi,,,,,,
harusu_ni,tio,harusu ni,vt.constr,,run.out.of APPL,v? - appl,,harusu ni,harus ni
hata_1,tio,hata,adj,avuavuhu_hata ; too_hata ; vaahata,,,,,
hata_2,tio,hata,n2,gono_hata,,,,,
hata_3,tio,hata,n2,hata_1 ; hata_2,,,,,
hata_kaakoo,tio,hata kaakoo,vi.constr,kaakoo,bad go.to,adj - vi,,hata kaakoo,
hata_oha,tio,hata oha,vi.constr,,bad exceed,adj - vt,,hata oha,
hata_suinina,tio,hata suinina,n2.constr,suinina_1,bad body-DEREL,n - n,,hata suini-na,
hatahata,tio,hatahata,adj,,RED-bad,,,hata-hata,
hatana,tio,hatana,n2,basu ; butobutoo ; butoo_1 ; butoo_2,,,,,
hau,tio,hau,clitic constr,,NEG=IMM,neg = tam,,haa=u,
havanao,tio,havanao,n2,kapa_kikis,,,,,
have,tio,have,vt,naha,,,,,
havee,tio,havee,adv,LX000012,,,,,
havee_to_kahi_paku_vo,tio,havee to kahi paku vo,interrogative constr,,what REL TAM1 do like,adv - relative clause,,havee to kahi paku vo,
havee_to_paa_paku_vo,tio,havee to paa paku vo,interrogative constr,LX000069 ; vosau_2,what REL TAM3 do like,adv - relative clause,,havee to paa paku vo,
havee_to_paku_mi,tio,havee to paku mi,interrogative constr,,what REL do with,adv - relative clause,,havee to paku mi,
havee_to_pakupaku_vaavaha_me,tio,havee to pakupaku vaavaha me,interrogative constr,me_2,what REL RED-do how with,adv - relative clause,,havee to paku-paku vaavaha me,
LX000010,tio,havee to...vaavaha mi,interrogative constr,mi_1,what REL ... different with,adv - relative clause,,havee to...vaavaha mi,
LX000011,tio,havee to...vaavaha vo,interrogative constr,hae_3 ; LX000050 ; LX000053 ; vo_2,what REL...how like,adv - relative clause,,havee to...vaavaha vo,
LX000012,tio,havee to...vavura,interrogative constr,havee ; LX000015,where REL...far.away,adv - relative clause,,havee to...vavura,
LX000013,tio,havee to...vo,interrogative constr,,where REL ...GOAL,adv - relative clause,,havee to ... vo,
LX000014,tio,havee to...vo,interrogative constr,,what REL...like,adv - relative clause,,havee to...vo,
LX000015,tio,havee vavura to...vo,interrogative constr,havee ; vavura,where far.away REL...GOAL,adv - adv - relative clause,,havee vavura to...vo,
havehave,tio,havehave,vt,are_2,RED-pick.many.betelnuts,,,have-have,
havi_1,tio,havi,n3,huun_2,,,,,
havi_2,tio,havi,vt/vd,tahavi,,,,,
havi_kahi,tio,havi kahi,vd.constr,,wipe off,vt - prep,,havi kahi,
havi_ni,tio,havi ni,vt.constr,,wipe APPL,vt - appl,,havi ni,
he,tio,he,conj,,,,,,
hee,tio,hee,vd,sivao_1,,,,,
hee_komana_ni,tio,hee komana ni,vt.constr,,give self APPL,vd - adv - appl,,hee komana ni,
hee_ni,tio,hee ni,vt.constr,vaamoomoo_2,give APPL,vd - appl,,hee ni,
hee_vanaavihu_ni,tio,hee vanaavihu ni,vt.constr,vanaavihu,give go.in.the.opposite.direction,vd - vi - appl,,hee vanaavihu ni,
heehee_1,tio,heehee,vd,hee,RED-give,,,hee-hee,
heehee_2,tio,heehee,adj,tapate ; vasimura,RED-give,,,hee-hee,
heehee_ni,tio,heehee ni,vt.constr,,RED-give APPL,vd - appl,,hee-hee ni,
heehena,tio,heehena,n3,kahoo ; vavuriha,,,,,
hena,tio,hena,n2/n3,na_2 ; no_3,,,,,
hena_beera,tio,hena beera,n3.constr,haopi,name big,n - adj,,hena beera,
hena_momohu,tio,hena momohu,n3.constr,momohu_1,name first,n - vi,,hena momohu,
hena_suku,tio,hena suku,vt.constr,suku_2,name because.of,n - prep,,hena suku,
hena_upee,tio,hena upee,n3.constr,,name initiation,n - n,,hena vaaupee,
henana,tio,henana,n2.constr,,name-3SG.POSS=ART2.SG,n = art,,hena-n=a,
henanaa,tio,henanaa,n2,,name=1SG.PRON,,,hena=naa,
hereke,tio,hereke,vi,vaherehereke,,,,,
herepe,tio,herepe,vt,ikuna_1 ; tahi_herepe_ni,,,,,
hevee_1,tio,hevee,vi,gavagava ; hevehevee ; vaahevee ; vahevehevee_1 ; vahevehevee_2,,,,,
hevee_2,tio,hevee,n3,,,,,,
hevee_ni,tio,hevee ni,vt.constr,kiunoman,angry APPL,vi - appl,,hevee ni,
hevehevee,tio,hevehevee,adj,hevee_1,RED-angry,,,heve-hevee,
hian,tio,hian,n2,are_2 ; pauna_2,,,,,
hiana_1,tio,hiana,n2,bakubaku,,,,,
hiana_2,tio,hiana,n2,bakubaku ; hiana_1,,,,,
hiana_3,tio,hiana,vi,hiana_1,,,,,
hiapa,tio,hiapa,n3,goroto ; revasin_1 ; tamari_2,,,,,
hiava,tio,hiava,vi,gunaha ; hua_hiava ; kaesi_hiava,,,,,
hiava_vahiava,tio,hiava vahiava,vi.constr,vahiava_1,go.up ADVR-go.up,vi - adv,,hiava va-hiava,
hibaa,tio,hibaa,adv,,instead,,,hibaa,
hiban_ni,tio,hiban ni,vt.constr,,use.instead APPL,v? - appl,,hiban ni,
higan,tio,higan,vt,vahigahigan_ni,,,,,
hihi,tio,hihi,vt,kanono,,,,,
hihi_kahi,tio,hihi kahi,vd.constr,baneo_1 ; ogaoga_2,pull.off from,vt - prep,,hihi kahi,
hihiana,tio,hihiana,n3,kakavei ; kave_1 ; viru,,,,,
hihio,tio,hihio,vi,hiihio ; hio_1,RED-sit,,,hi-hio,hiihio
hihivaa,tio,hihivaa,adj,kao_hihivaa ; tovuhu_1 ; varuruva,,,,,
hihivaa_ki,tio,hihivaa ki,vt.constr,kamanam,difficult for,adj - prep,,hihivaa ki,
hii,tio,hii,vi,hiihii ; vaahii_2,,,,,
hiihiava,tio,hiihiava,vi,,RED-go.up,,hiava,hii-hiava,
hiihii,tio,hiihii,n3,vaahii_2,,,,,
hiihio,tio,hiihio,vi,,RED-sit,,,hii-hio,hihio
hiirunae,tio,hiirunae,n2.constr,hiiruu_3,flower-3SG.POSS=3SG.PRON,n = pron,,hiiiru-na=e,
hiiruu_1,tio,hiiruu,n3,hiihii,,,,,
hiiruu_2,tio,hiiruu,vi,hiiruu_kaakau,,,,,
hiiruu_3,tio,hiiruu,n2/n3,hiiruu_bai ; hiiruu_pediri ; kariapa_1,,,,,
hiiruu_bai,tio,hiiruu bai,n3.constr,,blossom mango,n - n,,hiiruu bai,
hiiruu_kaakau,tio,hiiruu kaakau,n3.constr,kaakau_1 ; vua_kaakau,blossom cocoa,n - n,,hiiruu kaakau,
hiiruu_pediri,tio,hiiruu pediri,n3.constr,pediri,blossom pediri,n - n,,hiiruu pediri,
hiiruu_sinivi,tio,hiiruu sinivi,n3.constr,sinivi_2,blossom blackbord.tree,n - n,,hiiruu sinivi,
hiiruu_vakakaavoo,tio,hiiruu vakakaavoo,vi.constr,vakakaavoo_2,bloom ADVR-white,vi - adv,,hiiruu va-kakaavoo,
hiki_1,tio,hiki,vi/vt,ahiki_1 ; tara_vahiki ; vaahiki ; vahiki,,,,,
hiki_2,tio,hiki,n2,hiki_1,,,,,
hiki_ni,tio,hiki ni,vt.constr,,not.have APPL,vi/vt - appl,,hiki ni,
hiki_ta_koara,tio,hiki ta koara,vt.constr,koara_2,not.have NSPEC2.SG word,vt - NP,,hiki ta koara,
hiki_toutou,tio,hiki toutou,adj.constr,hiki_1,not.have thorns,vt - n,,hiki toutou,
hikihiki,tio,hikihiki,vt,hiki_1,RED-not,,,hiki-hiki,
hikihiki_ni,tio,hikihiki ni,vt.constr,hiki_1,RED-not.exist APPL,vi - appl,,hiki-hiki ni,
hikihikina,tio,hikihikina,vi,hikikina_1,RED-not.exist-?,,,hiki-hiki-na,hikikina
hikikina_1,tio,hikikina,vi,deedeetoa ; opin ; tagusi ; vaahikikina,,,,,
hikikina_2,tio,hikikina,n2,hiki_1,,,,,
hikoon,tio,hikoon,n3,kehaa ; koriitoo,,,,,
hinae,tio,hinae,n2,monamonaa ; rahi_1 ; rom_kukan,,,,,
hinave_1,tio,hinave,n2,,,,,,
hinave_2,tio,hinave,vi,,,,,,
hino,tio,hino,vi/vt/vd,,,,,,
hino_von,tio,hino von,n2.constr,,request price,n - n,,hino von,
hio_1,tio,hio,vi,hiohio ; vahio_1,,,,,
hio_2,tio,hio,n2,,,,,,
hio_ihuana,tio,hio ihuana,vt.constr,ihuana,sit wait,vi - vt,,hio ihuana,
hio_kaakoo,tio,hio kaakoo,vi.constr,kaakoo,sit move.in.a.certain.direction,vi - vi,,hio kaakoo,
hio_mate,tio,hio mate,n2.constr,haha_1 ; tau_1,sit death,vi - n,,hio mate,
hio_maurata,tio,hio maurata,vi.constr,maurata_1,sit go.through.the.girls' initiation,vi - vi,,hio maurata,
hio_me,tio,hio me,vt.constr,,sit with,vi - prep,,hio me,
hio_ni,tio,hio ni,vt.constr,taeno_sinivi,sit APPL,vi - appl,,hio ni,
hio_pina,tio,hio pina,vt.constr,pina,sit blocking,vi - adv,,hio pina,
hio_pinopino,tio,hio pinopino,vi.constr,pinopino,sit,vi - adv,,hio pinopino,
hio_rihina,tio,hio rihina,vt.constr,rihina_2,sit-near,vi - prep,,hio rihina,
hio_taataana,tio,hio taataana,vi.constr,taataana,sit.down walk.along.the.coast.line,vi - vi,,hio taataana,
hio_vaa_matana_inu,tio,hio vaa matana inu,vi.constr,matana_inu ; mene_2,sit LNK front-POSS=ART2.SG house,vi - linker - LocP,,hio vaa mata-n=a inu,
hio_vaberobero,tio,hio vaberobero,vi.constr,vaberobero,sit ADVR-RED-many,vi - adv,,hio va-bero-bero,
hio_vahata,tio,hio vahata,vi.constr,,sit ADVR-bad,vi - adv,,hio va-hata,
hio_vakikis,tio,hio vakikis,vi.constr,vakikisi,sit ADVR-strong,vi - adv,,hio va-kikis,
hio_vakirikiri,tio,hio vakirikiri,vi.constr,kiri_1 ; pate_hio ; vakirikiri,sit ADVR-RED-divide,vi - adv,,hio va-kiri-kiri,
hio_vamataa,tio,hio vamataa,vi.constr,hio_1,sit ADVR-good,vi - adv,,hio va-mataa,
hio_vatakaha,tio,hio vatakaha,vi.constr,vatakaha,sit ADVR-dawn,vi - adv,,hio va-takaha,
hio_vatarigun,tio,hio vatarigun,vi.constr,rigun ; vatarigun,sit ADVR-ACAUS-wind.up,vi - adv,,hio va-ta-rigun,
hiohio,tio,hiohio,vi,hio_1,RED-sit,,,hio-hio,
hiohio_ni,tio,hiohio ni,vt.constr,potee_1 ; taeno_sinivi,RED-sit APPL,vi - appl,,hio-hio ni,
hiohio_vaagum,tio,hiohio vaagum,vi.constr,hio_1 ; hiohio ; karunata,RED-sit group,vi - n,,hio-hio vaagum,
hiovu,tio,hiovu,n3,hovu_1 ; hovu_2 ; pusu_hiovu_2 ; ta_hiovu_2,,,,,
hiraata,tio,hiraata,n3,pate_hiraata ; raon ; vaausu,,,,,
hirare,tio,hirare,vi,,,,,,
hiri,tio,hiri,vi,haraa_2,,,,,
hiri_ni,tio,hiri ni,vt.constr,moona_2,crawl APPL,vi - appl,,hiri ni,
hiri_tavusu_kahi,tio,hiri tavusu kahi,vt.constr,hiri ; tavusu_1,crawl come.out from,vi - vi - prep,,hiri tavusu kahi,
hiri_vaberobero,tio,hiri vaberobero,vi.constr,mahibara ; vaberobero,crawl MULT-RED-many,vi - adv,,hiri va-bero-bero,
hiroana,tio,hiroana,n2,kiririi_1,,,,,
hiroo_1,tio,hiroo,n2,huun_2 ; vahiroo,,,,,
hiroo_2,tio,hiroo,vt,huun_2 ; vaahiroo,,,,,
hirupu_hiava,tio,hirupu hiava,vt.constr,buhaha ; sibo,inhale go.up,vt - vi,,hirupu hiava,
hiupu_ni,tio,hiupu ni,vt.constr,pihae ; tarava,set.fire APPL,v? - appl,,hiupu ni,
hivi_1,tio,hivi,vt/vd,hivi_2,,,,,
hivi_2,tio,hivi,n3,vaabuaku_1,,,,,
hivi_hiava,tio,hivi hiava,vi.constr,hiava,ask go.up,vi - vi,,hivi hiava,
hivi_ni,tio,hivi ni,vt.constr,,ask APPL,vt - appl,,hivi ni,
hivuana,tio,hivuana,vi/vt,hivuhivuana ; ihuana,,,,,ihuana
hivuhivuana,tio,hivuhivuana,vt,hivuana ; ihuihuana,RED-wait,,,hivu-hivuana,
hoa_1,tio,hoa,n2,kaha_1,,,,,
hoa_2,tio,hoa,vi/vt,horivana,,,,,
hoa_3,tio,hoa,vi,hoavorana ; horivana,,,,,
hoa_4,tio,hoa,vt,vaaoro,,,,,
hoa_gunagunaha,tio,hoa gunagunaha,vd.constr,tahi_gunagunaha,push RED-go.down,vd - vi,,hoa guna-gunaha,
hoa_ni,tio,hoa ni,vt.constr,hoa_4,push APPL,vt - appl,,hoa ni,
hoa_takin,tio,hoa takin,vi.constr,hoa_3 ; hoavorana ; takin,grow come.out.of.water,vi - vi,,hoa takin,
hoa_vaakuu,tio,hoa vaakuu,vt.constr,vaakuu,push CAUS-fall,vt - vt,,hoa vaa-kuu,
hoa_vaakuu_ni,tio,hoa vaakuu ni,vt.constr,hoa_3 ; kuu ; vaakuu,blow CAUS-fall APPL,vi - vt -appl,,hoa vaa-kuu ni,
hoa_vaaoro_ni,tio,hoa vaaoro ni,vt.constr,busu_vaoro_ni ; oro_1,push CAUS-float APPL,vt - vt - appl,,hoa vaa-oro ni,
hoa_vabeera,tio,hoa vabeera,vi.constr,hoa_2 ; iravata ; vavaanaovo_suku ; vavaatoa_1,blow ADVR-big,vi - adv,,hoa va-beera,
hoa_vadana,tio,hoa vadana,n3.constr,,? ?,n - ?,,hoa vadana,
hoa_vanaavihu,tio,hoa vanaavihu,vi.constr,obete_gunaha_suku ; vaereere ; vanaavihu,grow go.opposite.direction,vi - adv,,hoa vanaavihu,
hoa_vaoro,tio,hoa vaoro,vt.constr,oro_1,push CAUS-float,vt - vt,,hoa va-oro,
hoa_vatagevo_ni,tio,hoa vatagevo ni,vt.constr,hoa_4 ; tagevo_1,push CAUS-injured APPL,vt - vt - appl,,hoa va-tagevo ni,
hoara_1,tio,hoara,vi,bebeo,,,,,
hoara_2,tio,hoara,adj,vahoara,,,,,
hoara_ni,tio,hoara ni,vt.constr,,upset APPL,vi - appl,,hoara ni,
hoavadana,tio,hoavadana,n3,mora,,,,,hoa vadana
hoavorana,tio,hoavorana,n3,hoa_3 ; vorana,come.out-piled.up,,,hoa-vorana,
hobohoboo,tio,hobohoboo,n3,,,,,,
hobu,tio,hobu,vi,,,,,,
hobuhobu,tio,hobuhobu,vi,,RED-take.on.water,,,hobu-hobu,
hoe_1,tio,hoe,n3,deana ; onis,,,,,
hoe_2,tio,hoe,vt,,,,,,
hogaga,tio,hogaga,vi,vaavuriha_2,,,,,
hogo_1,tio,hogo,vt,gae ; poosu,,,,,
hogo_2,tio,hogo,n3,paranda_1,,,,,
hogo_3,tio,hogo,vi,,,,,,
hogo_4,tio,hogo,vt,boon_3 ; hogo_2 ; taboo_2,,,,,
hogo_hopo_ni,tio,hogo hopo ni,vt.constr,,push enter APPL,vt - vi - appl,,hogo hopo ni,
hogo_ni,tio,hogo ni,vt.constr,,push APPL,vt - appl,,hogo ni,
hoho,tio,hoho,vi,panapanaa,,,,,
hoi_1,tio,hoi,n3,kae_1 ; paka_suva ; vin_hoi_ni,,,,,
hoi_2,tio,hoi,vt,hoi_1,,,,,
hoi_siri,tio,hoi siri,n3.constr,siri_1,basket tear.sth.off,n - vt,,hoi siri,
hoihoi,tio,hoihoi,vt,hoi_1 ; hoi_2,RED-put.into.basket,,,hoi-hoi,
hoihoi_voosu,tio,hoihoi voosu,vt.constr,voosu,put.into.baskets go.home,vt - vi,,hoihoi voosu,
honin,tio,honin,vt,,too.close,,,honin,
honovo,tio,honovo,vi,kavakava ; pauna_1 ; tabuana,,,,,
hoohoa,tio,hoohoa,n3,evo ; kuihaa ; pohamana ; ponpon_1,,,,,
hoohoo,tio,hoohoo,vt,bonaa_hoohoo ; genun ; karii,,,,,
hoos,tio,hoos,n2,hae_1,,,,,
hooto,tio,hooto,adj,ganogano ; vahio_kasuana ; viipana,,,,,
hoovu,tio,hoovu,n2,katoo ; kehaa ; kobaa,,,,,
hopo_1,tio,hopo,vi,govee ; hopohopo ; hovo_1 ; hovu_hopo_ni ; kuu_hopo_vo ; puhana_hopo ; vaobete_hopo,,,,,
hopo_2,tio,hopo,n3,avaava_1,,,,,
hopo_orovi,tio,hopo orovi,vi.constr,orovi,enter black.wild.banana,vi - n,,hopo orovi,
hopohopo,tio,hopohopo,vi/vt,poonata ; tovasuae,RED-go.into,,,hopo-hopo,
hopohopovasu,tio,hopohopovasu,n2,hopo_1 ; vasu,,,,,
hori,tio,hori,n2,garan ; hori_metomo ; tokotokoo_1,,,,,
hori_metomo,tio,hori metomo,n2.constr,hori ; monamonaa,squirrelfish Humpback.Snapper,n - n,,hori metomo,
horivana,tio,horivana,n1,iravata,,,,,
horo,tio,horo,vt,horohoro ; tokono,,,,,
horohoro,tio,horohoro,vi/vt,too_horohoro,,,,,
hovo_1,tio,hovo,vt,hopo_1 ; hua_hovo ; mee_hovo,,,,,
hovo_2,tio,hovo,n3,,,,,,
hovo_mi,tio,hovo mi,vt.constr,,enter with,vi - prep,,hovo mi,
hovo_otei,tio,hovo otei,n2.constr,,enter man,vi - n,,hovo otei,
hovohovo,tio,hovohovo,vi,hovo_1,RED enter,,,hovo-hovo,
hovu_1,tio,hovu,vt,iobo ; pipihoi ; pusu_hiovu_1,,,,,
hovu_2,tio,hovu,vt,pesupaava ; tahovu ; vaahovu_ki,,,,,
hovu_hopo_ni,tio,hovu hopo ni,vt.constr,hopo_1,dig enter APPL,vt - vi - appl,,hovu hopo ni,
hovu_iobo,tio,hovu iobo,vi.constr,hovuhovu_iobo,dig sea.sausages,vt - n,,hovu iobo,
hovu_kahi,tio,hovu kahi,vt.constr,kahi_1 ; pesu_2,husk from,vi - prep,,hovu kahi,
hovu_overe,tio,hovu overe,vi.constr,pusu_hiovu_2 ; ta_hiovu_2,husk coconut,vt - n,,hovu overe,
hovu_overe_ni,tio,hovu overe ni,vt.constr,pusu_hiovu_2,husk coconut APPL,vt - n - appl,,hovu overe ni,
hovuhovu_iobo,tio,hovuhovu iobo,vi.constr,hovu_1 ; iobo ; korivahi ; tarai ; vahivahi,RED-dig sea.sausages,vt - n,,hovu-hovu iobo,
hovuhovu_ni,tio,hovuhovu ni,vt.constr,hovu_2 ; pusu_hiovu_2,RED-husk APPL,vt - appl,,hovu-hovu ni,
hua,tio,hua,vi/vt,sinivi_1 ; vaahua,,,,,
hua_gunaha,tio,hua gunaha,vi.constr,gunaha ; kasuana_1,paddle go.down,vi - vi,,hua gunaha,
hua_hiava,tio,hua hiava,vi.constr,hiava ; namana_1,paddle go.up,vi - vi,,hua hiava,
hua_hiava_ni,tio,hua hiava ni,vt.constr,hiava ; tahii_1,paddle go.up APPL,vi - vi - appl,,hua hiava ni,
hua_hovo,tio,hua hovo,vi.constr,hovo_1,paddle enter,vi - vi,,hua hovo,
hua_kaakoo,tio,hua kaakoo,vi.constr,haan ; kaakoo ; toro_mohina,paddle move.in.a.certain.direction,vi - vi,,hua kaakoo,
hua_kahi,tio,hua kahi,vt.constr,kave_1 ; toro_mohina,paddle from,vi - prep,,hua kahi,
hua_ni,tio,hua ni,vt.constr,goroto,paddle APPL,vi - appl,,hua ni,
hua_oha,tio,hua oha,vt.constr,oha_1,paddle pass,vi - vt,,hua oha,
hua_pahana,tio,hua pahana,vi.constr,pahana,paddle across,vi - vi,,hua pahana,
hua_pina,tio,hua pina,vi.constr,pina,paddle blocking.the.way,vi - adv,,hua pina,
hua_takin,tio,hua takin,vi.constr,takin,paddle come.out.of.water,vi - vi,,hua takin,
hua_taviri,tio,hua taviri,vt.constr,naena ; taviri,paddle go.around,vi - vt,,hua taviri,
hua_tavusu,tio,hua tavusu,vi.constr,tavusu_1,paddle come.out,vi - vi,,hua tavusu,
hua_vahuusu,tio,hua vahuusu,vt.constr,vahuusu,paddle be.close.to,vi - vt,,hua vahuusu,hua vahuus
hua_varavihi_kahi,tio,hua varavihi kahi,vt.constr,naena ; varavihi_kahi,paddle hide from,vi - vi - prep,,hua varavihi kahi,
hua_voosu,tio,hua voosu,vi.constr,voosu,paddle go.home,vi - vi,,hua voosu,
hua_voosu_kahi,tio,hua voosu kahi,vt.constr,hua ; hua_kahi ; voosu,paddle go.home from,vi - vi - prep,,hua voosu kahi,
huahua_1,tio,huahua,vi,hoa_vaoro,RED-paddle,,,hua-hua,
huahua_2,tio,huahua,n3,goroto,RED-paddle,,,hua-hua,
huahua_ki,tio,huahua ki,vt.constr,hua ; huuhua_ki,RED-paddle DAT,vi - prep,,hua-hua ki,huuhua ki
huahua_ni,tio,huahua ni,vt.constr,pakapaka,RED-paddle APPL,vi - appl,,hua-hua ni,
huahua_pahana_kahi,tio,huahua pahana kahi,vt.constr,pahana,RED-paddle cross from,vi - vi - prep,,hua-hua pahana kahi,
huan,tio,huan,n2,huun_1 ; piraa ; siko,,,,,
huga,tio,huga,vt,,,,,,
huha_1,tio,huha,vt,kakavei ; kanono ; kave_goroto,,,,,
huha_2,tio,huha,vt,basu,,,,,
huha_atovo,tio,huha atovo,vi.constr,atovo_2 ; huha_2,sew sago palm.thatch,vt - n,,huha atovo,
huha_atovo_ni,tio,huha atovo ni,vt.constr,,sew sago palm APPL,vt - n - appl,,huha atovo ni,
huha_kave,tio,huha kave,vi.constr,kave_1,tie net,vt - n,,huha kave,
huhu_1,tio,huhu,n2,kara_koremana ; kookoo_1,,,,,
huhu_2,tio,huhu,vi,kookoo_3 ; susu_3,,,,,
huka,tio,huka,vi,tahuka ; vaahuka,,,,,
huka_ki,tio,huka ki,vt.constr,,move DAT,vi - prep,,huka ki,
hukepe,tio,hukepe,vi,rapisi_1,,,,,
hum_1,tio,hum,n3,maamihu_hum ; pate_hio,,,,,
hum_2,tio,hum,n3,komano_sinivi ; taeno_sinivi,,,,,
hum_3,tio,hum,n3,,,,,,
hum_aniani,tio,hum aniani,n3.constr,,place RED-eat,n - vi,,hum ani-ani,
hum_bebeaka,tio,hum bebeaka,n3.constr,,place defacate,n - vi,,hum bebeaka,
hum_beera,tio,hum beera,n3.constr,,part important,n - adj,,hum beera,
hum_evaeva,tio,hum evaeva,n3.constr,eva ; hum_1,place RED-corals,n - n,,hum eva-eva,
hum_goroho,tio,hum goroho,n3.constr,,place sleep,n - vi,,hum goroho,
hum_hiihio,tio,hum hiihio,n3.constr,hio_1,place RED-sit,n - vi,,hum hii-hio,
hum_hovohovo_iobo,tio,hum hovohovo iobo,n3.constr,hovo_1 ; hovohovo ; iobo,place RED-enter sea-sausage,n - vi - n,,hum hovo-hovo iobo,
hum_kasuana_1,tio,hum kasuana,n3.constr,hum_1 ; kasuana_3,place sand,n - n,,hum kasuana,
hum_kasuana_2,tio,hum kasuana,n3.constr,hum_2 ; kasuana_2,piece ground,n - n,,hum kasuana,
hum_kiiki_baara,tio,hum kiiki baara,n3.constr,,place kick ball,n - vt - n,,hum kiiki baara,
hum_masimasi_romrom,tio,hum masimasi romrom,n3.constr,masi_2 ; romrom_1,place RED-reef RED-slice,n - n - vt,,hum masi-masi rom-rom,
hum_mataa,tio,hum mataa,n3.constr,,part good,n - adj,,hum mtaa,
hum_nata,tio,hum nata,n3.constr,,piece know,n - vi,,hum nata,
hum_oraoraa,tio,hum oraoraa,n3.constr,oraa ; oraoraa_2,place RED-evil.spirit,n - n,,hum ora-oraa,
hum_popo,tio,hum popo,n3.constr,popo,place live,n - vi,,hum popo,
hum_sue,tio,hum sue,n3.constr,,piece say,n - vt,,hum sue,
hum_tagitagihu,tio,hum tagitagihu,n3.constr,tagihu,place RED-go.into.the jungle,n - vi,,hum tagi-tagihu,
hum_teitei,tio,hum teitei,n3.constr,bakubaku ; genun ; teitei,place RED-stay,n - vi,,hum tei-tei,
hum_tokatoka,tio,hum tokatoka,n3.constr,,piece steps,n - n,,hum tokatoka,
hum_vaanomo,tio,hum vaanomo,n3.constr,,piece coconut.oil,n - n,,hum vaanomo,
hum_vaavon,tio,hum vaavon,n3.constr,,place CAUS-buy,n - vt,,hum vaa-von,
hum_vagana,tio,hum vagana,n3.constr,vagana,place fish,n - vi,,hum vagana,
hum_vahiihio,tio,hum vahiihio,n3.constr,,place MULT-RED-sit,n - vi,,hum va-hii-hio,
hum_vasuvasu,tio,hum vasuvasu,n3.constr,vasu ; vasuvasuana,place RED-stone,n - n,,hum vasu-vasu,
hum_vavaadovo_mate,tio,hum vavaadovo mate,n3.constr,mate_4,place RED-CAUS-sink body,n - vt - n,,hum va-vaa-dovo mate,
hum_vavaagum,tio,hum vavaagum,n3.constr,vavaagum,place MULT-gather,n - vi,,hum va-vaagum,
hum_vavaatii_nahu,tio,hum vavaatii nahu,n3.constr,vavaatei ; vavaatii,place RED-CAUS-stay pot,n - vt - n,,hum va-vaa-tii nahu,
LX000016,tio,hum vavaatii taba'ani,n3.constr,vavaatei,place RED-CAUS-stay thing-eat,n - vt - n,,hum va-vaa-tii taba-ani,
humhum_1,tio,humhum,n3,hum_2,RED-piece,,,hum-hum,
humhum_2,tio,humhum,n3,,RED-place,,,hum-hum,
Hunavaan,tio,Hunavaan,n1,,,,,,
hunhunuana,tio,hunhunuana,adj,bai_2 ; dosiri_2 ; hunuhunuana,RED-liquid-ADVR,,,hun-hunu-ana,hunuhunuana
hunuhunuana,tio,hunuhunuana,adj,hunhunuana ; huun_2,RED-juice-ADJR,,,hunu-hunu-ana,hunhunuana
hupihupi,tio,hupihupi,vt/vd,hihi ; kanono ; sui ; vinugu,,,,,
huriki_kahi,tio,huriki kahi,vd.constr,kioru_1 ; kioru_2,remove.with.a.stick from,vt - prep,,huriki kahi,
hutate_1,tio,hutate,vt,vahutate_1,,,,,
hutate_2,tio,hutate,n3,baitono_vatamaka_ni ; vahutate_2,,,,,
huu_1,tio,huu,vt,vaahuu_hopo_ni ; vaahuu_ni,,,,,
huu_2,tio,huu,n2,,,,,,
huu_butara,tio,huu butara,vt.constr,avuisi_huuhuu_kaukau ; butara,prick try,vt - vt,,huu butara,
huu_ni,tio,huu ni,vt.constr,iri ; pusu_hiovu_1,insert APPL,vt - appl,,huu ni,
huu_nibusu,tio,huu nibusu,vt.constr,avuin_2,insert make.a.hole,vt - vt,,huu nibus,huu nibusu
huuhua_1,tio,huuhua,vt,huuhua_ki ; too_huuhua,RED-paddle,,,huu-hua,huahua
huuhua_2,tio,huuhua,n2,hua,RED-paddle,,,huu-hua,
huuhua_ki,tio,huuhua ki,vt.constr,hua,RED-paddle DAT,vi - prep,,hua-hua ki,
huuhua_pina,tio,huuhua pina,vi.constr,naba_huuhua_pina,RED-paddle blocking.the.way,vi - adv,,huu-hua pina,
huuhuu,tio,huuhuu,vt,avisi_1 ; huu_1,RED-prick,,,huu-huu,
huun_1,tio,huun,vi,huan ; supaki ; vaahuun,,,,,
huun_2,tio,huun,n2,hiroo_1,,,,,
huun_iana,tio,huun iana,n2.constr,huun_2,liquid fish,n - n,,huun iana,
